Datetime,temperature,wind_speed,wind_direction,humidity,pressure,solar_radiation
1/1/2018,1.3,3.1,290,36.1,2.4,1.88
1/2/2018,1.5,2.3,290,50.6,3.4,1.65
1/3/2018,0.3,2.9,320,30,1.8,1.77
1/4/2018,0.6,1.7,290,38.5,2.4,1.77
1/5/2018,2.1,2.5,290,36.5,2.5,1.9
1/6/2018,1.1,2.5,290,42,2.7,1.93
1/7/2018,-0.5,0.7,340,54,3.1,0.91
1/8/2018,2.2,1.8,290,80.6,5.8,0.61
1/9/2018,-0.1,4.9,290,56,3.3,1.85
1/10/2018,-2.9,4,290,55,2.8,1.95
1/11/2018,-6.6,4.6,290,45.4,1.7,2.03
1/12/2018,-6.6,3.1,290,38.9,1.4,2.08
1/13/2018,-2.5,1.1,290,56,2.9,1.87
1/14/2018,-0.8,0.8,110,68.8,3.8,2.15
1/15/2018,4.3,1.1,290,61.3,4.8,1.87
1/16/2018,3.4,0.9,140,82.5,6.5,1.02
1/17/2018,4.5,1.3,270,92.8,7.8,0.98
1/18/2018,5.8,1.9,290,62.8,5.7,1.36
1/19/2018,2.5,1.7,270,46,3,1.56
1/20/2018,1.8,1.2,250,57.1,3.9,1.79
1/21/2018,2.4,0.8,110,55.4,3.7,1.83
1/22/2018,4.5,1.7,290,52.1,4.3,1.58
1/23/2018,-4.7,5.5,290,35.3,1.6,2.19
1/24/2018,-9.4,5.2,290,29.1,0.9,2.12
1/25/2018,-8.7,4,290,31.9,1,1.9
1/26/2018,-8.9,3.9,290,31,1,2.24
1/27/2018,-5.6,1.1,290,34.1,1.2,2.14
1/28/2018,-1.1,3.5,290,27.9,1.6,2.12
1/29/2018,-4.9,4.7,290,34.9,1.4,2.18
1/30/2018,-3.5,2.6,270,40.4,1.9,2.18
1/31/2018,-0.3,1.6,290,44,2.5,1.86
2/1/2018,-0.2,1.5,270,33.9,1.9,2.21
2/2/2018,-1.5,1.4,270,36.9,1.9,1.73
2/3/2018,-3.2,3.9,290,39.5,1.9,2.37
2/4/2018,-6.4,4.7,290,35.4,1.3,2.32
2/5/2018,-6.2,4.6,290,32.6,1.2,2.39
2/6/2018,-6.7,3.6,290,37,1.3,2.41
2/7/2018,-5.3,2.8,290,31.9,1.2,2.38
2/8/2018,-3.1,0.8,290,35.8,1.6,2.15
2/9/2018,2.3,1,290,42.3,3.1,1.91
2/10/2018,3.3,3,290,41.5,3.2,1.6
2/11/2018,-2.3,4.3,270,39.3,2,2.04
2/12/2018,-2.7,3.9,290,53.3,2.7,2.28
2/13/2018,0.7,3,290,43.5,2.5,2.48
2/14/2018,6.6,2.2,270,46.8,4.5,2.2
2/15/2018,5,2.3,290,27.8,2.3,2.47
2/16/2018,3,2,290,33.3,2.2,2.18
